1;LEITUNGSSTRANG;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_000_K;L0L;3775 (g);~;CU: 1495 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;93;V.15..ZAS_E1_A2_1_2;A2;SP_15_13;1;1-39F;-;-;A192;SP_15_07;1;1-39F;-;-;N_037_049_9;-;-;81;SW;2,5;V.15..ZAS_E1;x;93;;;;
3;94;M.31..MB_K-M7_A1_192_1_1;192;SP_31A7_1;1;1-37H;-;-;XA.605.1;MB_LS;1;1-40F;N_017_516_5;-;N_037_048_8;-;-;1135;BR;2,5;M.31..MB_K-M7_A1;x;94;;;;
3;95;M.31..MB_K-M7_C1_96_1_1;96;SP_31C7_1;1;1-36J;-;-;136;SP_31C7_2;1;1-35F;-;-;N_037_038_8;-;-;507;BR;1,5;M.31..MB_K-M7_C1;x;95;;;;
3;96;M.31..MB_K-M7_C1_XC.44.1_1_1;XC.44.1;MB_7_3;1;1-40H;N_017_526_2;-;96;SP_31C7_1;1;1-36J;-;-;N_037_058_8;-;-;575;BR;4;M.31..MB_K-M7_C1;x;96;;;;
3;97;X.NONE..HW_SYS055_B183_1_2;B183;SP_WW;1;1-37F;-;-;XB.E595.3;LSS_B;1;1-42F;N_907_649_01;-;N_037_016_0;-;-;510;GN/WS;0,75;X.NONE..HW_SYS055;x;97;;;;
3;98;M.31..MB_K-M7_A1_191_1_2;191;SP_31A7_2;1;1-35E;-;-;XB.E595.3;LSS_B;2;1-42F;N_907_649_01;-;N_037_018_8;-;-;824;BR;0,75;M.31..MB_K-M7_A1;x;98;;;;
3;99;V.15A..SC_F17_XB.E595.3_3_1;XB.E595.3;LSS_B;3;1-42F;N_907_649_01;-;XA.SC.1;SITR;17A;1-31H;N_906_844_01;-;N_037_019_5;-;-;970;SW/BL;0,75;V.15A..SC_F17;x;99;;;;
3;100;V.53..SYS055_XB.E595.3_4_1;XB.E595.3;LSS_B;4;1-42F;N_907_649_01;-;XB.J519.3;BCM_B;27;1-33G;N_907_649_01;-;N_037_010_6;-;-;908;WS/GN;0,75;V.53..SYS055;x;100;;;;
3;101;S.INT..SYS055_XB.E595.3_5_1;XB.E595.3;LSS_B;5;1-42F;N_907_649_01;-;XB.J519.3;BCM_B;62;1-33G;N_907_649_01;-;N_037_018_5;-;-;908;BR/BL;0,75;S.INT..SYS055;x;101;;;;
3;102;S.53b..SYS055_XB.E595.3_6_1;XB.E595.3;LSS_B;6;1-42F;N_907_649_01;-;XB.J519.3;BCM_B;53;1-33G;N_907_649_01;-;N_037_011_3;-;-;908;GE/RT;0,75;S.53b..SYS055;x;102;;;;
3;103;S.53c..LSS_XB.E595.3_7_1;XB.E595.3;LSS_B;7;1-42F;N_907_649_01;-;B184;SP_LSSW;1;1-36H;-;-;N_037_016_3;-;-;904;GN/RT;0,75;S.53c..LSS;x;103;;;;
3;104;S.71a..SYS055_XC.E595.3_2_1;XC.E595.3;LSS_C;2;1-40F;N_907_647_01;-;XA.J519.3;BCM_A;29;1-33G;N_907_647_01;-;N_037_098_9;-;-;897;BR/SW;0,35;S.71a..SYS055;x;104;;;;
3;105;M.31..MB_K-M7_C1_234_1_3;234;SP_31C7_3;1;1-35E;-;-;XC.E595.3;LSS_C;1;1-40F;N_907_647_01;-;N_037_098_8;-;-;870;BR;0,35;M.31..MB_K-M7_C1;x;105;;;;
3;106;V.74..J680_A5_A145_1_2;A145;SP_75_2;1;1-36G;-;-;XA.SC.1;SITR;36B;1-31H;N_907_327_01;-;N_037_039_5;-;-;407;SW/BL;1,5;V.74..J680_A5;x;106;;;;
3;107;V.74..SC_F36_XA.U1.1_2_1;XA.U1.1;ZIG;2;1-44D;N_907_327_01;-;XA.SC.1;SITR;36A;1-31H;N_907_327_01;-;N_037_033_1;-;-;1517;RT/GE;1,5;V.74..SC_F36;x;107;;;;
3;108;M.31..MB_K-M9_A1_B445_1_2;B445;SP_31BA1;1;1-42A;-;-;XA.U1.1;ZIG;1;1-44D;N_907_327_01;-;N_037_038_8;-;-;2031;BR;1,5;M.31..MB_K-M9_A1;x;108;;;;
